text,label
"Investment crypto profit 200% guaranteed, join now bit.ly/verify",SCAM
Let’s study together for exam,SAFE
"Police report: you involved in case, contact urgent bit.ly/verify",SCAM
"Bank kau kena block, click link ni cepat tng-update.com",SCAM
"Shopee parcel stuck kastam, bayar RM59 untuk release",SCAM
Call aku nanti free,SAFE
"Shopee parcel stuck kastam, bayar RM155 untuk release",SCAM
Apa plan weekend ni?,SAFE
You datang lecture tak hari ni?,SAFE
Kita jumpa esok kelas 10am,SAFE
Aku dah hantar report tu,SAFE
Thanks bro tolong aku tadi,SAFE
Call aku nanti free,SAFE
"You win RM4078 cash, claim now sebelum expired",SCAM
Dinner rumah mak malam ni,SAFE
"Police report: you involved in case, contact urgent sh0pee-help.net",SCAM
"Job part time RM3341/day, no experience needed, join link bit.ly/verify",SCAM
"Job part time RM3284/day, no experience needed, join link bit.ly/verify",SCAM
Kita jumpa esok kelas 10am,SAFE
Jom makan dekat cafe kampus,SAFE
"Job part time RM4221/day, no experience needed, join link sh0pee-help.net",SCAM
Weh kau free tak malam ni?,SAFE
"Your email hacked, reset password immediately tng-update.com",SCAM
Kita jumpa esok kelas 10am,SAFE
"Police report: you involved in case, contact urgent bit.ly/verify",SCAM
"You win RM552 cash, claim now sebelum expired",SCAM
Aku lambat sikit traffic jam,SAFE
Where are you now bro?,SAFE
"Bank kau kena block, click link ni cepat bank-secure.com/login",SCAM
"Account anda akan dibekukan segera, verify sekarang bank-secure.com/login",SCAM
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
Jom makan dekat cafe kampus,SAFE
Where are you now bro?,SAFE
"Investment crypto profit 200% guaranteed, join now bit.ly/verify",SCAM
"Investment crypto profit 200% guaranteed, join now tng-update.com",SCAM
Kita jumpa esok kelas 10am,SAFE
Thanks bro tolong aku tadi,SAFE
"Customs hold parcel, pay RM156 release fee",SCAM
Aku dah hantar report tu,SAFE
"We detected login from India, confirm identity bit.ly/verify",SCAM
Call aku nanti free,SAFE
Weh kau free tak malam ni?,SAFE
"Shopee parcel stuck kastam, bayar RM1100 untuk release",SCAM
"We detected login from Philippines, confirm identity sh0pee-help.net",SCAM
"Free RM4296 voucher, claim sekarang bit.ly/verify",SCAM
"Good morning bro, bangun cepat",SAFE
